Country,Year,political_empow_index,ISO
Albania,2019,0.897,ALB
Argentina,2019,0.855,ARG
Australia,2019,0.92,AUS
Austria,2019,0.935,AUT
Bahrain,2019,0.518,BHR
Belgium,2019,0.95,BEL
Bulgaria,2019,0.911,BGR
Burkina Faso,2019,0.679,BFA
Canada,2019,0.912,CAN
Chile,2019,0.858,CHL
Colombia,2019,0.762,COL
Costa Rica,2019,0.913,CRI
Cote d'Ivoire,2019,0.664,CIV
Croatia,2019,0.891,HRV
Cyprus,2019,0.872,CYP
Czechia,2019,0.896,CZE
Denmark,2019,0.955,DNK
Ecuador,2019,0.848,ECU
Estonia,2019,0.949,EST
Finland,2019,0.948,FIN
France,2019,0.944,FRA
Gabon,2019,0.762,GAB
Georgia,2019,0.89,GEO
Germany,2019,0.959,DEU
Ghana,2019,0.805,GHA
Greece,2019,0.913,GRC
Guinea,2019,0.488,GIN
Hungary,2019,0.841,HUN
Iceland,2019,0.923,ISL
India,2019,0.636,IND
Ireland,2019,0.924,IRL
Israel,2019,0.876,ISR
Italy,2019,0.935,ITA
Jordan,2019,0.669,JOR
Kazakhstan,2019,0.805,KAZ
Kyrgyzstan,2019,0.779,KGZ
Laos,2019,0.494,LAO
Latvia,2019,0.953,LVA
Lithuania,2019,0.92,LTU
Malaysia,2019,0.764,MYS
Malta,2019,0.842,MLT
Mauritius,2019,0.854,MUS
Mexico,2019,0.811,MEX
Moldova,2019,0.878,MDA
Mongolia,2019,0.867,MNG
Montenegro,2019,0.864,MNE
Morocco,2019,0.721,MAR
Nepal,2019,0.76,NPL
New Zealand,2019,0.943,NZL
North Macedonia,2019,0.85,MKD
Norway,2019,0.911,NOR
Pakistan,2019,0.601,PAK
Philippines,2019,0.797,PHL
Poland,2019,0.864,POL
Portugal,2019,0.931,PRT
Romania,2019,0.883,ROU
Russia,2019,0.684,RUS
Saudi Arabia,2019,0.281,SAU
Senegal,2019,0.837,SEN
Serbia,2019,0.887,SRB
Slovakia,2019,0.891,SVK
Slovenia,2019,0.94,SVN
South Africa,2019,0.859,ZAF
Spain,2019,0.946,ESP
Sweden,2019,0.931,SWE
Switzerland,2019,0.941,CHE
Tanzania,2019,0.789,TZA
Thailand,2019,0.68,THA
United Kingdom,2019,0.89,GBR
United States,2019,0.889,USA
Uzbekistan,2019,0.643,UZB
